papel,segmento,cotacao,ffo_yield,dividend_yield,p_sobre_vp,valor_de_mercado,liquidez,qtd_de_imoveis,preco_do_m2,aluguel_por_m2,cap_rate,vacancia_media
AAZQ11,Títulos e Val Mob,9.25,0.046799999999999994,0.08929999999999999,96.0,222345000.0,884924.0,0.0,0.0,0.0,0.0,0.0
ABCP11,Shoppings,70.33,0.1752,0.0781,77.0,331190000.0,65740.0,1.0,4329.94,1068.0,0.24670000000000003,0.039
AEFI11,Outros,174.9,0.0803,0.0,121.0,411893000.0,0.0,7.0,4272.21,34717.0,0.08130000000000001,0.0
AFCR11,Desconhecido,103.15,0.1821,0.0,99.0,186437000.0,0.0,0.0,0.0,0.0,0.0,0.0
AFHI11,Títulos e Val Mob,98.01,0.10890000000000001,0.13449999999999998,102.0,295937000.0,816764.0,0.0,0.0,0.0,0.0,0.0
AFOF11,Títulos e Val Mob,91.6,0.1072,0.0226,99.0,63313200.0,0.0,0.0,0.0,0.0,0.0,0.0
AGCX11,Outros,1235.5,0.009300000000000001,0.0,1140.0,14317200000.0,0.0,77.0,106755.0,1121.97,0.0105,0.0705
AGRX11,Híbrido,10.75,0.057999999999999996,0.1346,106.0,102783000.0,269656.0,0.0,0.0,0.0,0.0,0.0
AIEC11,Lajes Corporativas,69.85,0.12990000000000002,0.1198,74.0,337025000.0,512686.0,2.0,14225.3,2195.11,0.1543,0.0
ALMI11,Lajes Corporativas,805.0,0.022799999999999997,0.0,40.0,89497500.0,49477.0,1.0,1969.91,17920.0,0.091,0.5625
ALZM11,Títulos e Val Mob,95.35,0.10300000000000001,0.10310000000000001,103.0,65905200.0,67682.0,0.0,0.0,0.0,0.0,0.0
ALZR11,Híbrido,112.97,0.0546,0.1225,106.0,1113930000.0,2457160.0,13.0,6997.12,56316.0,0.0805,0.0
ANCR11B,Shoppings,3462.98,0.09269999999999999,0.0433,97.0,1646010000.0,202464.0,5.0,9097.66,1010.36,0.11109999999999999,0.044199999999999996
APTO11,Híbrido,9.96,0.1303,0.11689999999999999,94.0,39968100.0,42402.0,5.0,16931.3,1102.41,0.06509999999999999,0.0
ARCT11,Híbrido,87.13,0.1432,0.0642,87.0,323093000.0,0.0,10.0,71076.0,6574.0,0.0925,0.0
ARRI11,Títulos e Val Mob,8.95,0.10060000000000001,0.1427,100.0,116853000.0,246440.0,0.0,0.0,0.0,0.0,0.0
ARXD11,Títulos e Val Mob,100.0,0.0021,0.022099999999999998,99.0,49205000.0,2456.0,0.0,0.0,0.0,0.0,0.0
ASMT11,Híbrido,49.19,0.1595,0.0906,58.0,50041800.0,29334.0,3.0,4586.68,74154.0,0.1617,0.0
ATSA11,Shoppings,65.0,0.0195,0.0054,80.0,113824000.0,432.0,1.0,3325.54,7814.0,0.0235,0.254
BARI11,Títulos e Val Mob,85.88,0.1217,0.1268,88.0,397984000.0,831781.0,1.0,0.0,0.0,0.0,0.0
BBFI11B,Lajes Corporativas,1105.21,0.3031,0.2311,51.0,143677000.0,422458.0,2.0,1562.19,52600.0,0.3367,0.0
BBFO11,Títulos e Val Mob,77.0,0.1761,0.10300000000000001,94.0,308300000.0,250385.0,0.0,0.0,0.0,0.0,0.0
BBGO11,Títulos e Val Mob,91.1,0.115,0.1241,93.0,364870000.0,537400.0,0.0,0.0,0.0,0.0,0.0
BBPO11,Lajes Corporativas,97.37,0.1074,0.105,98.0,1550100000.0,1268240.0,63.0,3958.15,46220.0,0.1168,0.0
BBRC11,Outros,104.27,0.10869999999999999,0.10880000000000001,96.0,165789000.0,127844.0,20.0,10291.1,1432.36,0.1392,0.0
BBVJ11,Lajes Corporativas,62.99,0.0124,0.0,95.0,197789000.0,0.0,1.0,9620.13,49116.0,0.051100000000000007,0.44659999999999994
BCFF11,Títulos e Val Mob,73.48,0.0981,0.094,97.0,1850700000.0,2389080.0,0.0,0.0,0.0,0.0,0.0
BCIA11,Títulos e Val Mob,104.88,0.098,0.083,97.0,390053000.0,865811.0,0.0,0.0,0.0,0.0,0.0
BCRI11,Títulos e Val Mob,76.5,0.1778,0.1419,77.0,478727000.0,659469.0,0.0,0.0,0.0,0.0,0.0
