papel,segmento,cotacao,ffo_yield,dividend_yield,p_sobre_vp,valor_de_mercado,liquidez,qtd_de_imoveis,preco_do_m2,aluguel_por_m2,cap_rate,vacancia_media
AAZQ11,Títulos e Val Mob,9.19,0.0471,0.1016,0.95,220903000.0,926280.0,0.0,0.0,0.0,0.0,0.0
ABCP11,Shoppings,73.0,0.16879999999999998,0.07490000000000001,0.8,343763000.0,59623.0,1.0,4494.32,1068.0,0.2376,0.039
AEFI11,Outros,174.9,0.0803,0.0,1.21,411893000.0,0.0,7.0,4272.21,347.17,0.08130000000000001,0.0
AFCR11,Desconhecido,103.15,0.1821,0.0,0.99,186437000.0,0.0,0.0,0.0,0.0,0.0,0.0
AFHI11,Títulos e Val Mob,96.78,0.1103,0.1233,1.01,292223000.0,1336260.0,0.0,0.0,0.0,0.0,0.0
AFOF11,Títulos e Val Mob,91.6,0.1072,0.011399999999999999,0.99,63313200.0,0.0,0.0,0.0,0.0,0.0,0.0
AGCX11,Outros,1235.5,0.009300000000000001,0.0,11.4,14317200000.0,0.0,77.0,106755.0,1121.97,0.0105,0.0705
AGRX11,Híbrido,11.15,0.0559,0.1297,1.1,106607000.0,320665.0,0.0,0.0,0.0,0.0,0.0
AIEC11,Lajes Corporativas,68.94,0.1316,0.122,0.73,332635000.0,545221.0,2.0,14040.0,2195.11,0.1563,0.0
ALMI11,Lajes Corporativas,739.1,0.0248,0.0,0.36,82170900.0,58045.0,1.0,1808.65,179.2,0.09910000000000001,0.5625
ALZM11,Títulos e Val Mob,93.75,0.1048,0.1048,1.01,64799200.0,81468.0,0.0,0.0,0.0,0.0,0.0
ALZR11,Híbrido,117.79,0.0524,0.1117,1.1,1161460000.0,2863700.0,13.0,7295.66,563.16,0.07719999999999999,0.0
ANCR11B,Shoppings,3466.0,0.0926,0.0286,0.97,1647450000.0,198021.0,5.0,9105.6,1010.36,0.111,0.044199999999999996
APTO11,Híbrido,9.94,0.1305,0.1155,0.94,39887800.0,45406.0,5.0,16897.3,1102.41,0.0652,0.0
ARCT11,Híbrido,87.13,0.1432,0.051500000000000004,0.87,323093000.0,0.0,10.0,710.76,65.74,0.0925,0.0
ARRI11,Títulos e Val Mob,9.01,0.1,0.1389,1.0,117637000.0,249998.0,0.0,0.0,0.0,0.0,0.0
ARXD11,Títulos e Val Mob,101.0,0.002,0.032400000000000005,1.0,49697000.0,144.0,0.0,0.0,0.0,0.0,0.0
ASMT11,Híbrido,49.3,0.1591,0.0904,0.58,50153700.0,26096.0,3.0,4596.94,741.54,0.1613,0.0
ATSA11,Shoppings,65.0,0.0195,0.0054,0.8,113824000.0,487.0,1.0,3325.54,78.14,0.0235,0.254
BARI11,Títulos e Val Mob,88.03,0.1012,0.1189,0.91,407948000.0,803288.0,1.0,0.0,0.0,0.0,0.0
BBFI11B,Lajes Corporativas,1100.2,0.3045,0.21539999999999998,0.51,143026000.0,301178.0,2.0,1555.11,526.0,0.3382,0.0
BBFO11,Títulos e Val Mob,75.95,0.17859999999999998,0.1023,0.92,304096000.0,239967.0,0.0,0.0,0.0,0.0,0.0
BBGO11,Títulos e Val Mob,91.9,0.114,0.1257,0.94,368075000.0,411627.0,0.0,0.0,0.0,0.0,0.0
BBPO11,Lajes Corporativas,97.5,0.1073,0.1048,0.98,1552170000.0,1398100.0,63.0,3963.44,462.2,0.1166,0.0
BBRC11,Outros,112.0,0.1012,0.1025,1.04,178080000.0,134720.0,20.0,11054.1,1432.36,0.12960000000000002,0.0
BBVJ11,Lajes Corporativas,62.99,0.0124,0.0,0.95,197789000.0,0.0,1.0,9620.13,491.16,0.051100000000000007,0.44659999999999994
BCFF11,Títulos e Val Mob,72.56,0.0993,0.08779999999999999,0.95,1827520000.0,2542940.0,0.0,0.0,0.0,0.0,0.0
BCIA11,Títulos e Val Mob,104.98,0.09789999999999999,0.08380000000000001,0.97,390425000.0,762034.0,0.0,0.0,0.0,0.0,0.0
BCRI11,Títulos e Val Mob,74.8,0.1818,0.13720000000000002,0.75,468089000.0,685182.0,0.0,0.0,0.0,0.0,0.0
BICE11,Títulos e Val Mob,1000.0,0.0751,0.1301,1.02,78299000.0,76780.0,0.0,0.0,0.0,0.0,0.0
BICR11,Títulos e Val Mob,99.96,0.1375,0.098,0.99,49980000.0,713.0,0.0,0.0,0.0,0.0,0.0
BIME11,Híbrido,7.88,0.1354,0.1235,0.89,46063300.0,71581.0,2.0,1296.54,0.0,0.0,0.0
BLCA11,Lajes Corporativas,132.0,0.051,0.0493,0.97,211200000.0,27162.0,1.0,52076.2,3102.57,0.0596,0.0
BLCP11,Logística,91.0,0.0541,0.0167,0.81,208962000.0,0.0,2.0,3014.16,199.89,0.0663,0.0
BLMC11,Títulos e Val Mob,81.01,0.1232,0.12179999999999999,0.82,32363500.0,6383.0,0.0,0.0,0.0,0.0,0.0
BLMG11,Outros,68.14,0.1143,0.12710000000000002,0.78,259653000.0,507963.0,1.0,331.19,41.41,0.125,0.0
BLMO11,Lajes Corporativas,20999.0,0.021099999999999997,0.0336,0.63,79733200.0,0.0,1.0,12365.4,564.87,0.045700000000000005,0.0
BLMR11,Títulos e Val Mob,7.54,0.1149,0.1013,0.94,192584000.0,492270.0,0.0,0.0,0.0,0.0,0.0
BLUR11,Títulos e Val Mob,100.5,0.0512,0.1151,1.05,9045000.0,2610.0,0.0,0.0,0.0,0.0,0.0
BMLC11,Híbrido,104.04,0.07400000000000001,0.10679999999999999,0.94,103874000.0,25887.0,2.0,12092.8,1282.66,0.1061,0.0
BNFS11,Outros,121.4,0.1401,0.135,1.32,84980000.0,140763.0,18.0,7799.96,1312.01,0.16820000000000002,0.0
BPFF11,Outros,71.43,0.1638,0.1,0.92,320887000.0,344439.0,0.0,0.0,0.0,0.0,0.0
BPML11,Shoppings,64.16,0.057,0.026699999999999998,0.48,276214000.0,60195.0,4.0,3480440.0,704763.4,0.2025,0.0833
BPRP11,Outros,109.14,0.09759999999999999,0.09179999999999999,1.0,147321000.0,1179.0,1.0,6382.92,648.64,0.1016,0.0
BRCO11,Logística,125.0,0.0641,0.0693,1.04,1847350000.0,3871800.0,11.0,3424.55,308.67,0.0901,0.1206
BRCR11,Híbrido,67.49,0.0805,0.0788,0.67,1797810000.0,1920290.0,9.0,11968.5,1223.35,0.10220000000000001,0.1198
BREV11,Híbrido,104.67,0.0654,0.0678,0.89,101237000.0,2032.0,13.0,18269.6,1425.56,0.078,0.0
BRIM11,Residencial,1030.22,0.0708,0.1705,0.94,127888000.0,0.0,1.0,7164.34,0.0,0.0,0.0
BRIP11,Híbrido,950.01,0.1324,0.2134,1.0,204703000.0,86.0,7.0,7561.95,0.0,0.0,0.0
BRLA11,Outros,138.03,0.0579,0.0891,0.88,433403000.0,46223.0,7.0,3251.62,190.43,0.058600000000000006,0.0
BROF11,Híbrido,69.6,0.0016,0.0268,0.66,808113000.0,1603410.0,2.0,8802.13,14.74,0.0017000000000000001,0.0506
BTAL11,Outros,90.7,0.0875,0.1017,0.87,542634000.0,999175.0,9.0,1609.98,159.83,0.0993,0.0
BTCI11,Títulos e Val Mob,9.53,0.1649,0.0834,0.92,948437000.0,2390450.0,0.0,0.0,0.0,0.0,0.0
BTCR11,Títulos e Val Mob,88.0,0.12480000000000001,0.0426,0.92,423289000.0,0.0,0.0,0.0,0.0,0.0,0.0
BTLG11,Híbrido,106.13,0.0496,0.0799,1.08,2235830000.0,7872740.0,20.0,4475.56,217.28,0.048499999999999995,0.008
BTRA11,Outros,76.31,0.0716,0.1192,0.64,256750000.0,660861.0,6.0,3.53,0.48,0.1374,0.0
BTSG11,Híbrido,140.0,0.10890000000000001,0.0655,1.02,108502000.0,161436.0,1.0,5750.8,681.21,0.1185,0.0
BTSI11,Híbrido,95.29,0.009899999999999999,0.0,0.78,201380000.0,103968.0,2.0,1060.8,14.98,0.0141,0.065
BTWR11,Lajes Corporativas,107.0,0.059800000000000006,0.054900000000000004,0.95,86591900.0,0.0,1.0,4341.04,281.46,0.06480000000000001,0.0
BVAR11,Outros,100.01,0.7465,1.6298,0.09,62560300.0,0.0,62.0,477.5,390.88,0.8186,0.0754
CACR11,Desconhecido,105.3,0.1784,0.1524,1.01,190323000.0,665425.0,0.0,0.0,0.0,0.0,0.0
CARE11,Híbrido,1.99,-0.0358,0.0,0.24,71182100.0,18795.0,1.0,0.0,0.0,0.0037,0.0
CBOP11,Lajes Corporativas,35.3,0.1143,0.1059,0.48,49949500.0,8764.0,1.0,3065.59,268.21,0.0875,0.39649999999999996
CCME11,Outros,110.0,0.0449,0.0659,1.08,330421000.0,292.0,1.0,22206.5,35.42,0.0016,0.0
CCRF11,Títulos e Val Mob,90.9,0.0782,0.1016,0.91,142886000.0,4215.0,0.0,0.0,0.0,0.0,0.0
CEOC11,Lajes Corporativas,63.65,0.10060000000000001,0.1023,0.81,115569000.0,73705.0,1.0,6923.62,822.31,0.1188,0.0
CFHI11,Outros,935.66,-0.0375,0.0,1.46,88513400.0,14886.0,4.0,6631.22,0.0,0.0,0.0
CJCT11,Lajes Corporativas,65.0,0.0121,0.0073,0.98,204100000.0,20134.0,1.0,9927.1,491.16,0.0495,0.44659999999999994
CNES11,Lajes Corporativas,28.06,0.047599999999999996,0.0449,0.31,82755900.0,5638.0,1.0,1190.91,180.32,0.1514,0.546
CORM11,Híbrido,81.0,0.0969,0.009399999999999999,0.96,82402600.0,0.0,3.0,7552.78,741.54,0.09820000000000001,0.0
CPFF11,Títulos e Val Mob,75.31,0.114,0.0801,0.91,192272000.0,395358.0,0.0,0.0,0.0,0.0,0.0
CPSH11,Shoppings,118.0,0.0033,0.0092,1.16,161660000.0,42574.0,1.0,1273.7,36.11,0.028300000000000002,0.0
CPTR11,Títulos e Val Mob,97.94,0.08900000000000001,0.1616,1.0,405276000.0,1916040.0,0.0,0.0,0.0,0.0,0.0
CPTS11,Títulos e Val Mob,86.19,0.0123,0.1168,0.95,2739360000.0,6090930.0,0.0,0.0,0.0,0.0,0.0
CRAA11,Títulos e Val Mob,103.64,0.060599999999999994,0.0576,1.02,51284800.0,193183.0,0.0,0.0,0.0,0.0,0.0
CRFF11,Títulos e Val Mob,80.5,0.09119999999999999,0.09390000000000001,0.89,55548200.0,48464.0,0.0,0.0,0.0,0.0,0.0
CTXT11,Lajes Corporativas,12.75,-0.17980000000000002,0.0,0.4,43454200.0,3420.0,1.0,916.28,5.67,0.0062,0.9697
CVBI11,Títulos e Val Mob,94.18,0.1317,0.1118,0.98,1036940000.0,3002140.0,0.0,0.0,0.0,0.0,0.0
