papel,segmento,cotacao,ffo_yield,dividend_yield,p_sobre_vp,valor_de_mercado,liquidez,qtd_de_imoveis,preco_do_m2,aluguel_por_m2,cap_rate,vacancia_media
AAZQ11,Títulos e Val Mob,9.28,0.0467,0.10060000000000001,0.96,223066000.0,920116.0,0.0,0.0,0.0,0.0,0.0
ABCP11,Shoppings,72.54,0.1699,0.0754,0.79,341597000.0,60595.0,1.0,4466.0,1068.0,0.2391,0.039
AEFI11,Outros,174.9,0.0803,0.0,1.21,411893000.0,0.0,7.0,4272.21,347.17,0.08130000000000001,0.0
AFCR11,Desconhecido,103.15,0.1821,0.0,0.99,186437000.0,0.0,0.0,0.0,0.0,0.0,0.0
AFHI11,Títulos e Val Mob,97.26,0.1097,0.12269999999999999,1.01,293672000.0,1338750.0,0.0,0.0,0.0,0.0,0.0
AFOF11,Títulos e Val Mob,91.6,0.1072,0.011399999999999999,0.99,63313200.0,0.0,0.0,0.0,0.0,0.0,0.0
AGCX11,Outros,1235.5,0.009300000000000001,0.0,11.4,14317200000.0,0.0,77.0,106755.0,1121.97,0.0105,0.0705
AGRX11,Híbrido,10.77,0.0579,0.1439,1.06,102974000.0,336194.0,0.0,0.0,0.0,0.0,0.0
AIEC11,Lajes Corporativas,69.95,0.1297,0.1202,0.74,337508000.0,575465.0,2.0,14245.7,2195.11,0.15410000000000001,0.0
ALMI11,Lajes Corporativas,763.8,0.024,0.0,0.38,84917000.0,58320.0,1.0,1869.09,179.2,0.0959,0.5625
ALZM11,Títulos e Val Mob,92.65,0.106,0.1061,1.0,64038900.0,85557.0,0.0,0.0,0.0,0.0,0.0
ALZR11,Híbrido,117.0,0.0527,0.1125,1.1,1153670000.0,2933270.0,13.0,7246.73,563.16,0.07769999999999999,0.0
ANCR11B,Shoppings,3466.0,0.0926,0.0286,0.97,1647450000.0,202626.0,5.0,9105.6,1010.36,0.111,0.044199999999999996
APTO11,Híbrido,9.89,0.13119999999999998,0.1161,0.93,39687200.0,48881.0,5.0,16812.3,1102.41,0.06559999999999999,0.0
ARCT11,Híbrido,87.13,0.1432,0.051500000000000004,0.87,323093000.0,0.0,10.0,710.76,65.74,0.0925,0.0
ARRI11,Títulos e Val Mob,9.03,0.0998,0.1386,1.0,117898000.0,245533.0,0.0,0.0,0.0,0.0,0.0
ARXD11,Títulos e Val Mob,101.0,0.002,0.032400000000000005,1.0,49697000.0,190.0,0.0,0.0,0.0,0.0,0.0
ASMT11,Híbrido,49.94,0.15710000000000002,0.0892,0.59,50804800.0,24157.0,3.0,4656.61,741.54,0.1592,0.0
ATSA11,Shoppings,66.99,0.0189,0.0052,0.82,117309000.0,586.0,1.0,3427.35,78.14,0.022799999999999997,0.254
BARI11,Títulos e Val Mob,87.63,0.1017,0.11939999999999999,0.9,406094000.0,805640.0,1.0,0.0,0.0,0.0,0.0
BBFI11B,Lajes Corporativas,1092.99,0.3065,0.2168,0.51,142089000.0,266603.0,2.0,1544.92,526.0,0.34049999999999997,0.0
BBFO11,Títulos e Val Mob,75.94,0.17859999999999998,0.1023,0.92,304056000.0,242852.0,0.0,0.0,0.0,0.0,0.0
BBGO11,Títulos e Val Mob,91.06,0.1151,0.12689999999999999,0.93,364710000.0,426804.0,0.0,0.0,0.0,0.0,0.0
BBPO11,Lajes Corporativas,97.44,0.1073,0.1048,0.98,1551210000.0,1471580.0,63.0,3961.0,462.2,0.1167,0.0
BBRC11,Outros,112.5,0.1007,0.102,1.04,178875000.0,135210.0,20.0,11103.4,1432.36,0.129,0.0
BBVJ11,Lajes Corporativas,62.99,0.0124,0.0,0.95,197789000.0,0.0,1.0,9620.13,491.16,0.051100000000000007,0.44659999999999994
BCFF11,Títulos e Val Mob,73.88,0.09759999999999999,0.0931,0.97,1860770000.0,2756460.0,0.0,0.0,0.0,0.0,0.0
BCIA11,Títulos e Val Mob,104.75,0.0981,0.084,0.96,389569000.0,758712.0,0.0,0.0,0.0,0.0,0.0
BCRI11,Títulos e Val Mob,74.0,0.1838,0.1387,0.74,463083000.0,688599.0,0.0,0.0,0.0,0.0,0.0
BICE11,Títulos e Val Mob,1000.0,0.0751,0.1301,1.02,78299000.0,78482.0,0.0,0.0,0.0,0.0,0.0
BICR11,Títulos e Val Mob,97.15,0.14150000000000001,0.1008,0.96,48575000.0,810.0,0.0,0.0,0.0,0.0,0.0
BIME11,Híbrido,7.7,0.1386,0.1354,0.87,45011100.0,70994.0,2.0,1266.93,0.0,0.0,0.0
BLCA11,Lajes Corporativas,132.0,0.051,0.0493,0.97,211200000.0,27780.0,1.0,52076.2,3102.57,0.0596,0.0
BLCP11,Logística,91.0,0.0541,0.0167,0.81,208962000.0,0.0,2.0,3014.16,199.89,0.0663,0.0
BLMC11,Títulos e Val Mob,81.99,0.12179999999999999,0.12029999999999999,0.83,32755000.0,6186.0,0.0,0.0,0.0,0.0,0.0
BLMG11,Outros,67.5,0.11539999999999999,0.13720000000000002,0.77,257215000.0,508646.0,1.0,328.08,41.41,0.12619999999999998,0.0
BLMO11,Lajes Corporativas,20999.0,0.021099999999999997,0.0336,0.63,79733200.0,0.0,1.0,12365.4,564.87,0.045700000000000005,0.0
BLMR11,Títulos e Val Mob,7.45,0.11630000000000001,0.1097,0.93,190285000.0,490092.0,0.0,0.0,0.0,0.0,0.0
BLUR11,Títulos e Val Mob,100.5,0.0512,0.1151,1.05,9045000.0,2666.0,0.0,0.0,0.0,0.0,0.0
BMLC11,Híbrido,104.04,0.07400000000000001,0.1133,0.94,103874000.0,32786.0,2.0,12092.8,1282.66,0.1061,0.0
BNFS11,Outros,120.0,0.1417,0.1366,1.31,84000000.0,143867.0,18.0,7710.01,1312.01,0.1702,0.0
BPFF11,Outros,71.84,0.1629,0.09939999999999999,0.92,322729000.0,332779.0,0.0,0.0,0.0,0.0,0.0
BPML11,Shoppings,64.14,0.057,0.026699999999999998,0.48,276128000.0,75745.0,4.0,3479360.0,704763.4,0.2026,0.0833
BPRP11,Outros,109.14,0.09759999999999999,0.1001,1.0,147321000.0,1201.0,1.0,6382.92,648.64,0.1016,0.0
BRCO11,Logística,124.12,0.0645,0.0698,1.03,1834340000.0,3852030.0,11.0,3400.45,308.67,0.0908,0.1206
BRCR11,Híbrido,66.01,0.0823,0.0868,0.66,1758390000.0,1926820.0,9.0,11706.0,1223.35,0.1045,0.1198
BREV11,Híbrido,103.0,0.0665,0.0741,0.88,99621700.0,19058.0,13.0,17978.1,1425.56,0.0793,0.0
BRIM11,Residencial,1030.22,0.0708,0.1705,0.94,127888000.0,0.0,1.0,7164.34,0.0,0.0,0.0
BRIP11,Híbrido,950.01,0.1324,0.2198,1.0,204703000.0,88.0,7.0,7561.95,0.0,0.0,0.0
BRLA11,Outros,138.03,0.0579,0.0891,0.88,433403000.0,32295.0,7.0,3251.62,190.43,0.058600000000000006,0.0
BROF11,Híbrido,69.64,0.0016,0.0268,0.66,808577000.0,1519320.0,2.0,8807.19,14.74,0.0017000000000000001,0.0506
BTAL11,Outros,90.13,0.08800000000000001,0.1023,0.86,539224000.0,1028100.0,9.0,1599.86,159.83,0.0999,0.0
BTCI11,Títulos e Val Mob,9.54,0.16469999999999999,0.0929,0.93,949432000.0,2384760.0,0.0,0.0,0.0,0.0,0.0
BTCR11,Títulos e Val Mob,88.0,0.12480000000000001,0.0426,0.92,423289000.0,0.0,0.0,0.0,0.0,0.0,0.0
BTLG11,Híbrido,104.9,0.050199999999999995,0.0808,1.07,2209920000.0,8042120.0,20.0,4423.69,217.28,0.049100000000000005,0.008
BTRA11,Outros,76.5,0.07139999999999999,0.1189,0.64,257389000.0,674691.0,6.0,3.53,0.48,0.1371,0.0
BTSG11,Híbrido,139.08,0.1096,0.0655,1.01,107789000.0,165249.0,1.0,5713.01,681.21,0.1192,0.0
BTSI11,Híbrido,105.0,0.009000000000000001,0.0,0.86,221901000.0,106398.0,2.0,1168.9,14.98,0.0128,0.065
BTWR11,Lajes Corporativas,107.0,0.0571,0.054900000000000004,0.95,86591900.0,0.0,1.0,4341.04,378.13,0.08710000000000001,0.0
BVAR11,Outros,100.01,0.7465,1.6298,0.09,62560300.0,0.0,62.0,477.5,390.88,0.8186,0.0754
CACR11,Desconhecido,104.34,0.1801,0.15380000000000002,1.0,188588000.0,683818.0,0.0,0.0,0.0,0.0,0.0
CARE11,Híbrido,1.95,-0.0365,0.0,0.23,69751300.0,18822.0,1.0,0.0,0.0,0.0038,0.0
CBOP11,Lajes Corporativas,35.41,0.1139,0.10550000000000001,0.48,50105200.0,8648.0,1.0,3075.14,268.21,0.0872,0.39649999999999996
CCME11,Outros,110.01,0.0449,0.0659,1.08,330451000.0,258.0,1.0,22208.5,35.42,0.0016,0.0
CCRF11,Títulos e Val Mob,90.99,0.0781,0.1015,0.91,143027000.0,5740.0,0.0,0.0,0.0,0.0,0.0
CEOC11,Lajes Corporativas,64.12,0.0999,0.1105,0.82,116422000.0,71849.0,1.0,6974.74,822.31,0.11789999999999999,0.0
CFHI11,Outros,935.66,-0.0375,0.0,1.46,88513400.0,15232.0,4.0,6631.22,0.0,0.0,0.0
CJCT11,Lajes Corporativas,65.99,0.011899999999999999,0.0072,1.0,207209000.0,22817.0,1.0,10078.3,491.16,0.0487,0.44659999999999994
CNES11,Lajes Corporativas,28.1,0.0475,0.044800000000000006,0.31,82873900.0,6037.0,1.0,1192.61,180.32,0.1512,0.546
CORM11,Híbrido,81.0,0.0969,0.009399999999999999,0.96,82402600.0,0.0,3.0,7552.78,741.54,0.09820000000000001,0.0
CPFF11,Títulos e Val Mob,76.0,0.113,0.0886,0.92,194034000.0,406000.0,0.0,0.0,0.0,0.0,0.0
CPSH11,Shoppings,116.99,0.0033,0.009300000000000001,1.15,160276000.0,43718.0,1.0,1262.8,36.11,0.0286,0.0
CPTR11,Títulos e Val Mob,98.01,0.0889,0.16149999999999998,1.0,405566000.0,1922510.0,0.0,0.0,0.0,0.0,0.0
CPTS11,Títulos e Val Mob,87.19,0.0121,0.1155,0.96,2771140000.0,5989700.0,0.0,0.0,0.0,0.0,0.0
CRAA11,Títulos e Val Mob,102.45,0.0613,0.0697,1.01,50695900.0,198601.0,0.0,0.0,0.0,0.0,0.0
CRFF11,Títulos e Val Mob,81.01,0.0906,0.0933,0.9,55900100.0,55153.0,0.0,0.0,0.0,0.0,0.0
CTXT11,Lajes Corporativas,12.7,-0.1805,0.0,0.4,43283800.0,3588.0,1.0,912.69,5.67,0.0062,0.9697
CVBI11,Títulos e Val Mob,95.1,0.1305,0.1107,0.99,1047070000.0,3019230.0,0.0,0.0,0.0,0.0,0.0
CXAG11,Outros,84.3,0.1048,0.10289999999999999,0.73,176239000.0,118639.0,32.0,3066.74,356.04,0.1161,0.0
CXCE11B,Lajes Corporativas,43.0,0.1133,0.1069,0.66,73656800.0,31286.0,1.0,3501.92,433.71,0.12380000000000001,0.0
CXCI11,Títulos e Val Mob,89.0,0.0233,0.1052,0.92,183138000.0,171224.0,0.0,0.0,0.0,0.0,0.0
CXCO11,Lajes Corporativas,83.25,0.10830000000000001,0.10490000000000001,0.84,326715000.0,215299.0,10.0,3521.34,401.82,0.11410000000000001,0.0
CXRI11,Títulos e Val Mob,82.0,0.0868,0.0839,0.9,129212000.0,88851.0,0.0,0.0,0.0,0.0,0.0
CXTL11,Logística,309.99,0.0317,0.5305,0.75,16614500.0,27526.0,1.0,2228.23,316.18,0.1419,0.0
DAMT11B,Híbrido,21.77,0.046900000000000004,0.0369,1.65,159037000.0,952.0,1.0,2476.19,96.81,0.0391,0.1375
