papel,segmento,cotacao,ffo_yield,dividend_yield,p_sobre_vp,valor_de_mercado,liquidez,qtd_de_imoveis,preco_do_m2,aluguel_por_m2,cap_rate,vacancia_media
AAZQ11,Títulos e Val Mob,9.29,0.0466,0.1005,0.97,223306000.0,909542.0,0.0,0.0,0.0,0.0,0.0
ABCP11,Shoppings,72.34,0.1704,0.0756,0.79,340655000.0,59895.0,1.0,4453.69,1068.0,0.2398,0.039
AEFI11,Outros,174.9,0.0803,0.0,1.21,411893000.0,0.0,7.0,4272.21,347.17,0.08130000000000001,0.0
AFCR11,Desconhecido,103.15,0.1821,0.0,0.99,186437000.0,0.0,0.0,0.0,0.0,0.0,0.0
AFHI11,Títulos e Val Mob,98.2,0.10869999999999999,0.1216,1.02,296510000.0,1326260.0,0.0,0.0,0.0,0.0,0.0
AFOF11,Títulos e Val Mob,91.6,0.1072,0.011399999999999999,0.99,63313200.0,0.0,0.0,0.0,0.0,0.0,0.0
AGCX11,Outros,1235.5,0.009300000000000001,0.0,11.4,14317200000.0,0.0,77.0,106755.0,1121.97,0.0105,0.0705
AGRX11,Híbrido,10.68,0.0584,0.1451,1.05,102113000.0,335733.0,0.0,0.0,0.0,0.0,0.0
AIEC11,Lajes Corporativas,69.95,0.1297,0.1202,0.74,337508000.0,589331.0,2.0,14245.7,2195.11,0.15410000000000001,0.0
ALMI11,Lajes Corporativas,766.02,0.0239,0.0,0.38,85163800.0,57326.0,1.0,1874.53,179.2,0.0956,0.5625
ALZM11,Títulos e Val Mob,92.11,0.1066,0.1067,1.0,63665700.0,85102.0,0.0,0.0,0.0,0.0,0.0
ALZR11,Híbrido,116.63,0.0529,0.1128,1.09,1150020000.0,2910350.0,13.0,7223.81,563.16,0.078,0.0
ANCR11B,Shoppings,3466.0,0.0926,0.0286,0.97,1647450000.0,198021.0,5.0,9105.6,1010.36,0.111,0.044199999999999996
APTO11,Híbrido,9.85,0.1317,0.1165,0.93,39526600.0,49861.0,5.0,16744.3,1102.41,0.0658,0.0
ARCT11,Híbrido,87.13,0.1432,0.051500000000000004,0.87,323093000.0,0.0,10.0,710.76,65.74,0.0925,0.0
ARRI11,Títulos e Val Mob,8.9,0.0934,0.1406,0.99,116201000.0,245097.0,0.0,0.0,0.0,0.0,0.0
ARXD11,Títulos e Val Mob,101.0,0.002,0.032400000000000005,1.0,49697000.0,346.0,0.0,0.0,0.0,0.0,0.0
