papel,segmento,cotacao,ffo_yield,dividend_yield,p_sobre_vp,valor_de_mercado,liquidez,qtd_de_imoveis,preco_do_m2,aluguel_por_m2,cap_rate,vacancia_media
AAZQ11,Títulos e Val Mob,9.18,0.0472,0.1017,0.95,220662000.0,937461.0,0.0,0.0,0.0,0.0,0.0
ABCP11,Shoppings,72.51,0.17,0.0754,0.79,341456000.0,59861.0,1.0,4464.16,1068.0,0.23920000000000002,0.039
AEFI11,Outros,174.9,0.0803,0.0,1.21,411893000.0,0.0,7.0,4272.21,347.17,0.08130000000000001,0.0
AFCR11,Desconhecido,103.15,0.1821,0.0,0.99,186437000.0,0.0,0.0,0.0,0.0,0.0,0.0
AFHI11,Títulos e Val Mob,96.73,0.1103,0.1234,1.01,292072000.0,1277600.0,0.0,0.0,0.0,0.0,0.0
AFOF11,Títulos e Val Mob,91.6,0.1072,0.011399999999999999,0.99,63313200.0,0.0,0.0,0.0,0.0,0.0,0.0
AGCX11,Outros,1235.5,0.009300000000000001,0.0,11.4,14317200000.0,0.0,77.0,106755.0,1121.97,0.0105,0.0705
AGRX11,Híbrido,11.05,0.0564,0.1309,1.09,105651000.0,319534.0,0.0,0.0,0.0,0.0,0.0
AIEC11,Lajes Corporativas,69.53,0.1305,0.1209,0.73,335481000.0,534688.0,2.0,14160.1,2195.11,0.155,0.0
ALMI11,Lajes Corporativas,737.21,0.024900000000000002,0.0,0.36,81960800.0,58842.0,1.0,1804.02,179.2,0.0993,0.5625
ALZM11,Títulos e Val Mob,92.69,0.106,0.106,1.0,64066600.0,80374.0,0.0,0.0,0.0,0.0,0.0
ALZR11,Híbrido,116.94,0.0528,0.1125,1.1,1153080000.0,2882370.0,13.0,7243.02,563.16,0.07780000000000001,0.0
ANCR11B,Shoppings,3466.0,0.0926,0.0286,0.97,1647450000.0,202626.0,5.0,9105.6,1010.36,0.111,0.044199999999999996
APTO11,Híbrido,9.92,0.1308,0.1157,0.94,39807500.0,45795.0,5.0,16863.3,1102.41,0.0654,0.0
ARCT11,Híbrido,87.13,0.1432,0.051500000000000004,0.87,323093000.0,0.0,10.0,710.76,65.74,0.0925,0.0
ARRI11,Títulos e Val Mob,9.03,0.0998,0.1386,1.0,117898000.0,249748.0,0.0,0.0,0.0,0.0,0.0
ARXD11,Títulos e Val Mob,101.0,0.002,0.032400000000000005,1.0,49697000.0,147.0,0.0,0.0,0.0,0.0,0.0
ASMT11,Híbrido,49.99,0.15689999999999998,0.0891,0.59,50855600.0,26652.0,3.0,4661.27,741.54,0.1591,0.0
ATSA11,Shoppings,65.02,0.0195,0.0054,0.8,113859000.0,473.0,1.0,3326.56,78.14,0.0235,0.254
BARI11,Títulos e Val Mob,87.99,0.1012,0.1189,0.91,407762000.0,807015.0,1.0,0.0,0.0,0.0,0.0
BBFI11B,Lajes Corporativas,1110.0,0.3018,0.21350000000000002,0.52,144300000.0,302600.0,2.0,1568.96,526.0,0.3353,0.0
BBFO11,Títulos e Val Mob,75.2,0.1804,0.10339999999999999,0.92,301093000.0,244211.0,0.0,0.0,0.0,0.0,0.0
BBGO11,Títulos e Val Mob,92.7,0.113,0.1246,0.95,371279000.0,415893.0,0.0,0.0,0.0,0.0,0.0
BBPO11,Lajes Corporativas,97.89,0.10679999999999999,0.10439999999999999,0.98,1558380000.0,1381300.0,63.0,3979.29,462.2,0.1162,0.0
BBRC11,Outros,111.46,0.1017,0.10300000000000001,1.03,177221000.0,135541.0,20.0,11000.8,1432.36,0.13019999999999998,0.0
BBVJ11,Lajes Corporativas,62.99,0.0124,0.0,0.95,197789000.0,0.0,1.0,9620.13,491.16,0.051100000000000007,0.44659999999999994
BCFF11,Títulos e Val Mob,72.18,0.0999,0.0882,0.95,1817950000.0,2546590.0,0.0,0.0,0.0,0.0,0.0
BCIA11,Títulos e Val Mob,105.79,0.0971,0.08310000000000001,0.97,393437000.0,748856.0,0.0,0.0,0.0,0.0,0.0
BCRI11,Títulos e Val Mob,75.28,0.18059999999999998,0.1363,0.76,471093000.0,688933.0,0.0,0.0,0.0,0.0,0.0
BICE11,Títulos e Val Mob,1000.0,0.0751,0.1301,1.02,78299000.0,78566.0,0.0,0.0,0.0,0.0,0.0
BICR11,Títulos e Val Mob,99.99,0.1375,0.098,0.99,49995000.0,725.0,0.0,0.0,0.0,0.0,0.0
BIME11,Híbrido,7.86,0.13570000000000002,0.12390000000000001,0.89,45946400.0,72079.0,2.0,1293.25,0.0,0.0,0.0
BLCA11,Lajes Corporativas,132.0,0.051,0.0493,0.97,211200000.0,27794.0,1.0,52076.2,3102.57,0.0596,0.0
BLCP11,Logística,91.0,0.0541,0.0167,0.81,208962000.0,0.0,2.0,3014.16,199.89,0.0663,0.0
BLMC11,Títulos e Val Mob,81.01,0.1232,0.12179999999999999,0.82,32363500.0,6531.0,0.0,0.0,0.0,0.0,0.0
BLMG11,Outros,68.04,0.11449999999999999,0.1273,0.78,259272000.0,514821.0,1.0,330.71,41.41,0.1252,0.0
BLMO11,Lajes Corporativas,20999.0,0.021099999999999997,0.0336,0.63,79733200.0,0.0,1.0,12365.4,564.87,0.045700000000000005,0.0
BLMR11,Títulos e Val Mob,7.51,0.1153,0.1018,0.93,191818000.0,496705.0,0.0,0.0,0.0,0.0,0.0
BLUR11,Títulos e Val Mob,101.59,0.0506,0.11380000000000001,1.06,9143100.0,2612.0,0.0,0.0,0.0,0.0,0.0
BMLC11,Híbrido,104.0,0.07400000000000001,0.1069,0.94,103834000.0,26257.0,2.0,12088.2,1282.66,0.1061,0.0
BNFS11,Outros,121.02,0.1405,0.1354,1.32,84714000.0,141469.0,18.0,7775.54,1312.01,0.16870000000000002,0.0
BPFF11,Outros,71.41,0.1638,0.1,0.92,320797000.0,348250.0,0.0,0.0,0.0,0.0,0.0
BPML11,Shoppings,64.15,0.057,0.026699999999999998,0.48,276171000.0,61465.0,4.0,3479900.0,704763.4,0.2025,0.0833
BPRP11,Outros,109.14,0.09759999999999999,0.09179999999999999,1.0,147321000.0,1206.0,1.0,6382.92,648.64,0.1016,0.0
BRCO11,Logística,121.79,0.0658,0.0712,1.01,1799910000.0,3882180.0,11.0,3336.61,308.67,0.0925,0.1206
BRCR11,Híbrido,66.65,0.0815,0.07980000000000001,0.66,1775440000.0,1930720.0,9.0,11819.5,1223.35,0.1035,0.1198
BREV11,Híbrido,94.0,0.0729,0.0755,0.8,90916900.0,1942.0,13.0,16407.2,1425.56,0.08689999999999999,0.0
BRIM11,Residencial,1030.22,0.0708,0.1705,0.94,127888000.0,0.0,1.0,7164.34,0.0,0.0,0.0
BRIP11,Híbrido,950.01,0.1324,0.2134,1.0,204703000.0,88.0,7.0,7561.95,0.0,0.0,0.0
BRLA11,Outros,138.03,0.0579,0.0891,0.88,433403000.0,47298.0,7.0,3251.62,190.43,0.058600000000000006,0.0
BROF11,Híbrido,69.52,0.0017000000000000001,0.0268,0.65,807184000.0,1602680.0,2.0,8792.02,14.74,0.0017000000000000001,0.0506
BTAL11,Outros,91.25,0.08689999999999999,0.10099999999999999,0.87,545925000.0,980750.0,9.0,1619.74,159.83,0.0987,0.0
BTCI11,Títulos e Val Mob,9.5,0.1654,0.0837,0.92,945451000.0,2377830.0,0.0,0.0,0.0,0.0,0.0
BTCR11,Títulos e Val Mob,88.0,0.12480000000000001,0.0426,0.92,423289000.0,0.0,0.0,0.0,0.0,0.0,0.0
BTLG11,Híbrido,106.35,0.0495,0.0797,1.08,2240460000.0,7939330.0,20.0,4484.83,217.28,0.0484,0.008
BTRA11,Outros,77.23,0.0707,0.11779999999999999,0.65,259845000.0,667298.0,6.0,3.57,0.48,0.1358,0.0
BTSG11,Híbrido,140.0,0.10890000000000001,0.0655,1.02,108502000.0,165191.0,1.0,5750.8,681.21,0.1185,0.0
BTSI11,Híbrido,95.29,0.009899999999999999,0.0,0.78,201380000.0,106386.0,2.0,1060.8,14.98,0.0141,0.065
BTWR11,Lajes Corporativas,107.0,0.059800000000000006,0.054900000000000004,0.95,86591900.0,0.0,1.0,4341.04,281.46,0.06480000000000001,0.0
BVAR11,Outros,100.01,0.7465,1.6298,0.09,62560300.0,0.0,62.0,477.5,390.88,0.8186,0.0754
CACR11,Desconhecido,104.96,0.179,0.15289999999999998,1.01,189708000.0,662290.0,0.0,0.0,0.0,0.0,0.0
CARE11,Híbrido,2.0,-0.0356,0.0,0.24,71539800.0,19060.0,1.0,0.0,0.0,0.0037,0.0
CBOP11,Lajes Corporativas,35.82,0.11259999999999999,0.1043,0.49,50685300.0,8793.0,1.0,3110.75,268.21,0.0862,0.39649999999999996
CCME11,Outros,110.0,0.0449,0.0659,1.08,330421000.0,282.0,1.0,22206.5,35.42,0.0016,0.0
CCRF11,Títulos e Val Mob,90.98,0.0781,0.1015,0.91,143011000.0,4286.0,0.0,0.0,0.0,0.0,0.0
CEOC11,Lajes Corporativas,63.68,0.10060000000000001,0.10220000000000001,0.81,115624000.0,74755.0,1.0,6926.88,822.31,0.11869999999999999,0.0
