papel,segmento,cotacao,ffo_yield,dividend_yield,p_sobre_vp,valor_de_mercado,liquidez,qtd_de_imoveis,preco_do_m2,aluguel_por_m2,cap_rate,vacancia_media
AAZQ11,Títulos e Val Mob,9.18,0.0472,0.1017,0.95,220662000.0,942467.0,0.0,0.0,0.0,0.0,0.0
ABCP11,Shoppings,72.58,0.1698,0.0754,0.79,341785000.0,60761.0,1.0,4468.47,1068.0,0.239,0.039
AEFI11,Outros,174.9,0.0803,0.0,1.21,411893000.0,0.0,7.0,4272.21,347.17,0.08130000000000001,0.0
AFCR11,Desconhecido,103.15,0.1821,0.0,0.99,186437000.0,0.0,0.0,0.0,0.0,0.0,0.0
AFHI11,Títulos e Val Mob,96.58,0.1105,0.12359999999999999,1.0,291619000.0,1134390.0,0.0,0.0,0.0,0.0,0.0
AFOF11,Títulos e Val Mob,91.6,0.1072,0.011399999999999999,0.99,63313200.0,0.0,0.0,0.0,0.0,0.0,0.0
AGCX11,Outros,1235.5,0.009300000000000001,0.0,11.4,14317200000.0,0.0,77.0,106755.0,1121.97,0.0105,0.0705
AGRX11,Híbrido,10.95,0.056900000000000006,0.1321,1.08,104695000.0,310599.0,0.0,0.0,0.0,0.0,0.0
AIEC11,Lajes Corporativas,69.9,0.1298,0.12029999999999999,0.74,337267000.0,521116.0,2.0,14235.5,2195.11,0.1542,0.0
ALMI11,Lajes Corporativas,752.0,0.024399999999999998,0.0,0.37,83605100.0,46266.0,1.0,1840.22,179.2,0.0974,0.5625
ALZM11,Títulos e Val Mob,92.27,0.10640000000000001,0.1065,1.0,63776300.0,78050.0,0.0,0.0,0.0,0.0,0.0
ALZR11,Híbrido,115.49,0.053399999999999996,0.114,1.08,1138780000.0,2837990.0,13.0,7153.2,563.16,0.0787,0.0
ANCR11B,Shoppings,3466.0,0.0926,0.0286,0.97,1647450000.0,202626.0,5.0,9105.6,1010.36,0.111,0.044199999999999996
APTO11,Híbrido,9.88,0.1313,0.1162,0.93,39647000.0,45629.0,5.0,16795.3,1102.41,0.06559999999999999,0.0
ARCT11,Híbrido,87.13,0.1432,0.051500000000000004,0.87,323093000.0,0.0,10.0,710.76,65.74,0.0925,0.0
ARRI11,Títulos e Val Mob,9.03,0.0998,0.1386,1.0,117898000.0,250041.0,0.0,0.0,0.0,0.0,0.0
ARXD11,Títulos e Val Mob,101.0,0.002,0.032400000000000005,1.0,49697000.0,2505.0,0.0,0.0,0.0,0.0,0.0
ASMT11,Híbrido,49.35,0.159,0.09029999999999999,0.59,50204500.0,29183.0,3.0,4601.6,741.54,0.1611,0.0
ATSA11,Shoppings,66.0,0.0192,0.0053,0.81,115575000.0,453.0,1.0,3376.7,78.14,0.0231,0.254
BARI11,Títulos e Val Mob,87.87,0.1189,0.1191,0.9,407206000.0,828958.0,1.0,0.0,0.0,0.0,0.0
