papel,segmento,cotacao,ffo_yield,dividend_yield,p_sobre_vp,valor_de_mercado,liquidez,qtd_de_imoveis,preco_do_m2,aluguel_por_m2,cap_rate,vacancia_media
AAZQ11,Títulos e Val Mob,9.23,0.046900000000000004,0.0895,0.96,221864000.0,880150.0,0.0,0.0,0.0,0.0,0.0
ABCP11,Shoppings,71.48,0.1724,0.07690000000000001,0.78,336605000.0,64364.0,1.0,4400.74,1068.0,0.2427,0.039
AEFI11,Outros,174.9,0.0803,0.0,1.21,411893000.0,0.0,7.0,4272.21,347.17,0.08130000000000001,0.0
AFCR11,Desconhecido,103.15,0.1821,0.0,0.99,186437000.0,0.0,0.0,0.0,0.0,0.0,0.0
AFHI11,Títulos e Val Mob,97.5,0.1094,0.1348,1.01,294397000.0,824336.0,0.0,0.0,0.0,0.0,0.0
AFOF11,Títulos e Val Mob,91.6,0.1072,0.0226,0.99,63313200.0,0.0,0.0,0.0,0.0,0.0,0.0
AGCX11,Outros,1235.5,0.009300000000000001,0.0,11.4,14317200000.0,0.0,77.0,106755.0,1121.97,0.0105,0.0705
AGRX11,Híbrido,10.75,0.057999999999999996,0.1346,1.06,102783000.0,287674.0,0.0,0.0,0.0,0.0,0.0
AIEC11,Lajes Corporativas,69.79,0.13,0.12,0.74,336736000.0,508003.0,2.0,14213.1,2195.11,0.15439999999999998,0.0
ALMI11,Lajes Corporativas,782.64,0.023399999999999997,0.0,0.39,87011600.0,48212.0,1.0,1915.2,179.2,0.09359999999999999,0.5625
ALZM11,Títulos e Val Mob,95.02,0.10339999999999999,0.10339999999999999,1.03,65677100.0,72703.0,0.0,0.0,0.0,0.0,0.0
ALZR11,Híbrido,113.26,0.0545,0.1222,1.06,1116790000.0,2758940.0,13.0,7015.08,563.16,0.0803,0.0
ANCR11B,Shoppings,3500.0,0.0917,0.0429,0.98,1663610000.0,202545.0,5.0,9194.92,1010.36,0.1099,0.044199999999999996
APTO11,Híbrido,9.93,0.1306,0.11720000000000001,0.94,39847700.0,45453.0,5.0,16880.3,1102.41,0.0653,0.0
ARCT11,Híbrido,87.13,0.1432,0.0642,0.87,323093000.0,0.0,10.0,710.76,65.74,0.0925,0.0
ARRI11,Títulos e Val Mob,9.09,0.09910000000000001,0.1405,1.01,118681000.0,244732.0,0.0,0.0,0.0,0.0,0.0
ARXD11,Títulos e Val Mob,100.0,0.0021,0.022099999999999998,0.99,49205000.0,2458.0,0.0,0.0,0.0,0.0,0.0
ASMT11,Híbrido,49.17,0.1595,0.0906,0.58,50021400.0,30231.0,3.0,4584.81,741.54,0.1617,0.0
ATSA11,Shoppings,66.0,0.0192,0.0053,0.81,115575000.0,421.0,1.0,3376.7,78.14,0.0231,0.254
BARI11,Títulos e Val Mob,88.75,0.11779999999999999,0.12269999999999999,0.91,411284000.0,823735.0,1.0,0.0,0.0,0.0,0.0
BBFI11B,Lajes Corporativas,1109.93,0.3018,0.23010000000000003,0.52,144291000.0,382180.0,2.0,1568.86,526.0,0.3353,0.0
BBFO11,Títulos e Val Mob,75.0,0.1808,0.1058,0.91,300293000.0,254836.0,0.0,0.0,0.0,0.0,0.0
BBGO11,Títulos e Val Mob,92.4,0.1134,0.12240000000000001,0.95,370077000.0,526459.0,0.0,0.0,0.0,0.0,0.0
BBPO11,Lajes Corporativas,97.6,0.1072,0.1047,0.98,1553760000.0,1325830.0,63.0,3967.5,462.2,0.1165,0.0
BBRC11,Outros,109.1,0.1039,0.10400000000000001,1.01,173469000.0,135807.0,20.0,10767.9,1432.36,0.133,0.0
BBVJ11,Lajes Corporativas,62.99,0.0124,0.0,0.95,197789000.0,0.0,1.0,9620.13,491.16,0.051100000000000007,0.44659999999999994
BCFF11,Títulos e Val Mob,71.97,0.1001,0.0959,0.95,1812660000.0,2462920.0,0.0,0.0,0.0,0.0,0.0
BCIA11,Títulos e Val Mob,104.9,0.09789999999999999,0.083,0.97,390127000.0,804611.0,0.0,0.0,0.0,0.0,0.0
BCRI11,Títulos e Val Mob,76.4,0.17800000000000002,0.1421,0.77,478102000.0,655335.0,0.0,0.0,0.0,0.0,0.0
BICE11,Títulos e Val Mob,947.99,0.07919999999999999,0.1291,0.97,74226700.0,80231.0,0.0,0.0,0.0,0.0,0.0
BICR11,Títulos e Val Mob,98.0,0.1402,0.099,0.97,49000000.0,676.0,0.0,0.0,0.0,0.0,0.0
BIME11,Híbrido,7.68,0.1389,0.1447,0.87,44894200.0,75535.0,2.0,1263.64,0.0,0.0,0.0
BLCA11,Lajes Corporativas,132.0,0.051,0.0528,0.97,211200000.0,55944.0,1.0,52076.2,3102.57,0.0596,0.0
BLCP11,Logística,91.0,0.0541,0.022000000000000002,0.81,208962000.0,0.0,2.0,3014.16,199.89,0.0663,0.0
BLMC11,Títulos e Val Mob,81.63,0.1223,0.1324,0.83,32611200.0,4991.0,0.0,0.0,0.0,0.0,0.0
BLMG11,Outros,67.25,0.1158,0.1391,0.77,256262000.0,518364.0,1.0,326.87,41.41,0.1267,0.0
BLMO11,Lajes Corporativas,20999.0,0.021099999999999997,0.030600000000000002,0.63,79733200.0,0.0,1.0,12365.4,564.87,0.045700000000000005,0.0
BLMR11,Títulos e Val Mob,7.47,0.1159,0.1115,0.93,190796000.0,491724.0,0.0,0.0,0.0,0.0,0.0
BLUR11,Títulos e Val Mob,100.39,0.0512,0.1242,1.05,9035100.0,3987.0,0.0,0.0,0.0,0.0,0.0
BMLC11,Híbrido,101.51,0.0759,0.1176,0.92,101348000.0,26296.0,2.0,11798.7,1282.66,0.10869999999999999,0.0
BNFS11,Outros,119.29,0.1425,0.13699999999999998,1.3,83503000.0,144712.0,18.0,7664.39,1312.01,0.17120000000000002,0.0
BPFF11,Outros,72.2,0.162,0.10039999999999999,0.93,324346000.0,365479.0,0.0,0.0,0.0,0.0,0.0
BPML11,Shoppings,64.62,0.056600000000000004,0.0265,0.49,278194000.0,58298.0,4.0,3505400.0,704763.4,0.2011,0.0833
BPRP11,Outros,109.15,0.09759999999999999,0.0989,1.0,147335000.0,811.0,1.0,6383.51,648.64,0.1016,0.0
BRCO11,Logística,119.52,0.067,0.0708,1.0,1766360000.0,4179370.0,11.0,3274.42,308.67,0.0943,0.1206
BRCR11,Híbrido,67.69,0.0803,0.0848,0.67,1803140000.0,1801140.0,9.0,12003.9,1223.35,0.10189999999999999,0.1198
BREV11,Híbrido,109.9,0.0623,0.0692,0.94,106295000.0,1802.0,13.0,19182.5,1425.56,0.07429999999999999,0.0
BRIM11,Residencial,1030.22,0.0708,0.17629999999999998,0.94,127888000.0,0.0,1.0,7164.34,0.0,0.0,0.0
BRIP11,Híbrido,950.01,0.1324,0.2134,1.0,204703000.0,110.0,7.0,7561.95,0.0,0.0,0.0
BRLA11,Outros,160.0,0.05,0.0834,1.02,502387000.0,117654.0,7.0,3769.18,190.43,0.050499999999999996,0.0
BROF11,Híbrido,69.5,0.0017000000000000001,0.0268,0.65,806951000.0,1797570.0,2.0,8789.49,14.74,0.0017000000000000001,0.0506
BTAL11,Outros,91.9,0.0863,0.1084,0.88,549813000.0,942311.0,9.0,1631.28,159.83,0.098,0.0
BTCI11,Títulos e Val Mob,9.4,0.1671,0.08460000000000001,0.91,935499000.0,2338700.0,0.0,0.0,0.0,0.0,0.0
BTCR11,Títulos e Val Mob,88.0,0.12480000000000001,0.056100000000000004,0.92,423289000.0,0.0,0.0,0.0,0.0,0.0,0.0
BTLG11,Híbrido,106.56,0.049400000000000006,0.08650000000000001,1.08,2244890000.0,8230230.0,20.0,4493.69,217.28,0.0484,0.008
BTRA11,Outros,74.99,0.0729,0.1295,0.63,252308000.0,639606.0,6.0,3.46,0.48,0.1399,0.0
BTSG11,Híbrido,140.0,0.10890000000000001,0.058899999999999994,1.02,108502000.0,165191.0,1.0,5750.8,681.21,0.1185,0.0
,Híbrido,105.0,0.009000000000000001,0.0,0.86,221901000.0,106355.0,2.0,1168.9,14.98,0.0128,0.065
BTWR11,Lajes Corporativas,107.0,0.059800000000000006,0.054400000000000004,0.95,86591900.0,0.0,1.0,4341.04,281.46,0.06480000000000001,0.0
BVAR11,Outros,100.01,0.7465,1.804,0.09,62560300.0,0.0,62.0,477.5,390.88,0.8186,0.0754
CACR11,Desconhecido,105.48,0.17809999999999998,0.15259999999999999,1.01,190648000.0,610825.0,0.0,0.0,0.0,0.0,0.0
CARE11,Híbrido,1.98,-0.036000000000000004,0.0,0.24,70824400.0,19332.0,1.0,0.0,0.0,0.0037,0.0
CBOP11,Lajes Corporativas,36.05,0.1119,0.11320000000000001,0.49,51010800.0,8033.0,1.0,3130.72,268.21,0.0857,0.39649999999999996
CCME11,Outros,101.7,0.048499999999999995,0.0713,1.0,305490000.0,259.0,1.0,20530.9,35.42,0.0017000000000000001,0.0
CCRF11,Títulos e Val Mob,90.99,0.0781,0.1199,0.91,143027000.0,4063.0,0.0,0.0,0.0,0.0,0.0
CEOC11,Lajes Corporativas,63.17,0.1014,0.11,0.81,114698000.0,77234.0,1.0,6871.4,822.31,0.1197,0.0
CFHI11,Outros,935.66,-0.0375,0.0,1.46,88513400.0,15232.0,4.0,6631.22,0.0,0.0,0.0
CJCT11,Lajes Corporativas,64.55,0.0121,0.0062,0.98,202687000.0,16279.0,1.0,9858.38,491.16,0.049800000000000004,0.44659999999999994
