papel,segmento,cotacao,ffo_yield,dividend_yield,p_sobre_vp,valor_de_mercado,liquidez,qtd_de_imoveis,preco_do_m2,aluguel_por_m2,cap_rate,vacancia_media
AAZQ11,Títulos e Val Mob,9.38,0.0462,0.08800000000000001,0.97,225470000.0,942155.0,0.0,0.0,0.0,0.0,0.0
ABCP11,Shoppings,71.9,0.1714,0.0764,0.78,338583000.0,61067.0,1.0,4426.6,1068.0,0.2413,0.039
AEFI11,Outros,174.9,0.0803,0.0,1.21,411893000.0,0.0,7.0,4272.21,347.17,0.08130000000000001,0.0
AFCR11,Desconhecido,103.15,0.1821,0.0,0.99,186437000.0,0.0,0.0,0.0,0.0,0.0,0.0
AFHI11,Títulos e Val Mob,96.15,0.111,0.1367,1.0,290320000.0,1052980.0,0.0,0.0,0.0,0.0,0.0
AFOF11,Títulos e Val Mob,91.6,0.1072,0.0226,0.99,63313200.0,0.0,0.0,0.0,0.0,0.0,0.0
AGCX11,Outros,1235.5,0.009300000000000001,0.0,11.4,14317200000.0,0.0,77.0,106755.0,1121.97,0.0105,0.0705
AGRX11,Híbrido,10.93,0.057,0.1323,1.08,104504000.0,305477.0,0.0,0.0,0.0,0.0,0.0
AIEC11,Lajes Corporativas,71.57,0.1268,0.11699999999999999,0.76,345324000.0,518981.0,2.0,14575.6,2195.11,0.1506,0.0
ALMI11,Lajes Corporativas,752.01,0.024399999999999998,0.0,0.37,83606200.0,46867.0,1.0,1840.24,179.2,0.0974,0.5625
ALZM11,Títulos e Val Mob,93.6,0.10490000000000001,0.105,1.01,64695600.0,76937.0,0.0,0.0,0.0,0.0,0.0
ALZR11,Híbrido,115.03,0.0537,0.12029999999999999,1.08,1134240000.0,2829700.0,13.0,7124.71,563.16,0.079,0.0
ANCR11B,Shoppings,3500.0,0.0917,0.0429,0.98,1663610000.0,202545.0,5.0,9194.92,1010.36,0.1099,0.044199999999999996
APTO11,Híbrido,9.95,0.1304,0.127,0.94,39927900.0,46991.0,5.0,16914.3,1102.41,0.0652,0.0
ARCT11,Híbrido,87.13,0.1432,0.0642,0.87,323093000.0,0.0,10.0,710.76,65.74,0.0925,0.0
ARRI11,Títulos e Val Mob,9.28,0.0971,0.1376,1.03,121162000.0,246876.0,0.0,0.0,0.0,0.0,0.0
ARXD11,Títulos e Val Mob,100.0,0.0021,0.022099999999999998,0.99,49205000.0,2458.0,0.0,0.0,0.0,0.0,0.0
ASMT11,Híbrido,49.53,0.15839999999999999,0.08990000000000001,0.59,50387700.0,29215.0,3.0,4618.38,741.54,0.1606,0.0
ATSA11,Shoppings,66.0,0.0192,0.0053,0.81,115575000.0,453.0,1.0,3376.7,78.14,0.0231,0.254
BARI11,Títulos e Val Mob,89.2,0.11720000000000001,0.12210000000000001,0.92,413370000.0,829949.0,1.0,0.0,0.0,0.0,0.0
BBFI11B,Lajes Corporativas,1120.5,0.299,0.2279,0.52,145665000.0,365618.0,2.0,1583.8,526.0,0.3321,0.0
BBFO11,Títulos e Val Mob,75.8,0.1789,0.10460000000000001,0.92,303496000.0,239716.0,0.0,0.0,0.0,0.0,0.0
BBGO11,Títulos e Val Mob,93.7,0.1118,0.1207,0.96,375284000.0,463280.0,0.0,0.0,0.0,0.0,0.0
BBPO11,Lajes Corporativas,98.67,0.106,0.1036,0.99,1570800000.0,1374970.0,63.0,4011.0,462.2,0.1152,0.0
BBRC11,Outros,109.89,0.10310000000000001,0.1032,1.02,174725000.0,133856.0,20.0,10845.8,1432.36,0.1321,0.0
BBVJ11,Lajes Corporativas,62.99,0.0124,0.0,0.95,197789000.0,0.0,1.0,9620.13,491.16,0.051100000000000007,0.44659999999999994
BCFF11,Títulos e Val Mob,72.23,0.0998,0.0956,0.95,1819210000.0,2482540.0,0.0,0.0,0.0,0.0,0.0
BCIA11,Títulos e Val Mob,106.0,0.0969,0.08990000000000001,0.98,394218000.0,801100.0,0.0,0.0,0.0,0.0,0.0
BCRI11,Títulos e Val Mob,76.31,0.1782,0.1423,0.77,477538000.0,664051.0,0.0,0.0,0.0,0.0,0.0
BICE11,Títulos e Val Mob,1000.0,0.0751,0.12240000000000001,1.02,78299000.0,78605.0,0.0,0.0,0.0,0.0,0.0
BICR11,Títulos e Val Mob,98.46,0.1396,0.09849999999999999,0.98,49230000.0,627.0,0.0,0.0,0.0,0.0,0.0
BIME11,Híbrido,7.71,0.1384,0.1441,0.87,45069600.0,73228.0,2.0,1268.57,0.0,0.0,0.0
BLCA11,Lajes Corporativas,132.0,0.051,0.0528,0.97,211200000.0,27900.0,1.0,52076.2,3102.57,0.0596,0.0
BLCP11,Logística,91.0,0.0541,0.022000000000000002,0.81,208962000.0,0.0,2.0,3014.16,199.89,0.0663,0.0
BLMC11,Títulos e Val Mob,81.56,0.12240000000000001,0.1325,0.83,32583200.0,4940.0,0.0,0.0,0.0,0.0,0.0
BLMG11,Outros,68.55,0.11359999999999999,0.1365,0.78,261216000.0,517570.0,1.0,333.18,41.41,0.1243,0.0
BLMO11,Lajes Corporativas,20999.0,0.021099999999999997,0.030600000000000002,0.63,79733200.0,0.0,1.0,12365.4,564.87,0.045700000000000005,0.0
