papel,segmento,cotacao,ffo_yield,dividend_yield,p_sobre_vp,valor_de_mercado,liquidez,qtd_de_imoveis,preco_do_m2,aluguel_por_m2,cap_rate,vacancia_media
AAZQ11,Títulos e Val Mob,9.6,0.0451,0.086,1.0,230758000.0,914471.0,0.0,0.0,0.0,0.0,0.0
ABCP11,Shoppings,71.45,0.1725,0.07690000000000001,0.78,336464000.0,62948.0,1.0,4398.9,1068.0,0.24280000000000002,0.039
AEFI11,Outros,174.9,0.0803,0.0,1.21,411893000.0,0.0,7.0,4272.21,347.17,0.08130000000000001,0.0
AFCR11,Desconhecido,103.15,0.1821,0.0,0.99,186437000.0,0.0,0.0,0.0,0.0,0.0,0.0
AFHI11,Títulos e Val Mob,96.6,0.1105,0.136,1.0,291679000.0,863035.0,0.0,0.0,0.0,0.0,0.0
AFOF11,Títulos e Val Mob,91.6,0.1072,0.0226,0.99,63313200.0,0.0,0.0,0.0,0.0,0.0,0.0
AGCX11,Outros,1235.5,0.009300000000000001,0.0,11.4,14317200000.0,0.0,77.0,106755.0,1121.97,0.0105,0.0705
AGRX11,Híbrido,10.92,0.0571,0.1325,1.08,104408000.0,294178.0,0.0,0.0,0.0,0.0,0.0
AIEC11,Lajes Corporativas,70.9,0.128,0.11810000000000001,0.75,342092000.0,502825.0,2.0,14439.2,2195.11,0.152,0.0
ALMI11,Lajes Corporativas,766.0,0.0239,0.0,0.38,85161600.0,45614.0,1.0,1874.48,179.2,0.0956,0.5625
ALZM11,Títulos e Val Mob,94.24,0.1042,0.1043,1.02,65137900.0,75123.0,0.0,0.0,0.0,0.0,0.0
ALZR11,Híbrido,113.49,0.054400000000000004,0.1219,1.06,1119060000.0,2806710.0,13.0,7029.33,563.16,0.0801,0.0
ANCR11B,Shoppings,3500.0,0.0917,0.0429,0.98,1663610000.0,197942.0,5.0,9194.92,1010.36,0.1099,0.044199999999999996
APTO11,Híbrido,9.95,0.1304,0.11699999999999999,0.94,39927900.0,46004.0,5.0,16914.3,1102.41,0.0652,0.0
ARCT11,Híbrido,87.13,0.1432,0.0642,0.87,323093000.0,0.0,10.0,710.76,65.74,0.0925,0.0
ARRI11,Títulos e Val Mob,9.14,0.0986,0.13970000000000002,1.02,119334000.0,238914.0,0.0,0.0,0.0,0.0,0.0
ARXD11,Títulos e Val Mob,100.0,0.0021,0.022099999999999998,0.99,49205000.0,2402.0,0.0,0.0,0.0,0.0,0.0
ASMT11,Híbrido,49.12,0.1597,0.0907,0.58,49970600.0,28646.0,3.0,4580.15,741.54,0.16190000000000002,0.0
ATSA11,Shoppings,66.0,0.0192,0.0053,0.81,115575000.0,416.0,1.0,3376.7,78.14,0.0231,0.254
BARI11,Títulos e Val Mob,88.85,0.1176,0.1225,0.91,411748000.0,820554.0,1.0,0.0,0.0,0.0,0.0
BBFI11B,Lajes Corporativas,1114.0,0.3007,0.2293,0.52,144820000.0,371084.0,2.0,1574.62,526.0,0.33399999999999996,0.0
BBFO11,Títulos e Val Mob,75.1,0.18059999999999998,0.1056,0.91,300693000.0,251971.0,0.0,0.0,0.0,0.0,0.0
BBGO11,Títulos e Val Mob,93.37,0.11220000000000001,0.1211,0.96,373962000.0,497702.0,0.0,0.0,0.0,0.0,0.0
BBPO11,Lajes Corporativas,97.93,0.10679999999999999,0.10439999999999999,0.98,1559020000.0,1329430.0,63.0,3980.92,462.2,0.1161,0.0
BBRC11,Outros,110.0,0.10300000000000001,0.10310000000000001,1.02,174900000.0,131770.0,20.0,10856.7,1432.36,0.1319,0.0
BBVJ11,Lajes Corporativas,62.99,0.0124,0.0,0.95,197789000.0,0.0,1.0,9620.13,491.16,0.051100000000000007,0.44659999999999994
BCFF11,Títulos e Val Mob,72.02,0.1001,0.0959,0.95,1813920000.0,2440180.0,0.0,0.0,0.0,0.0,0.0
BCIA11,Títulos e Val Mob,105.91,0.09699999999999999,0.08220000000000001,0.97,393883000.0,799467.0,0.0,0.0,0.0,0.0,0.0
BCRI11,Títulos e Val Mob,76.46,0.1779,0.142,0.77,478477000.0,653190.0,0.0,0.0,0.0,0.0,0.0
BICE11,Títulos e Val Mob,947.99,0.07919999999999999,0.1291,0.97,74226700.0,78408.0,0.0,0.0,0.0,0.0,0.0
BICR11,Títulos e Val Mob,98.46,0.1396,0.09849999999999999,0.98,49230000.0,662.0,0.0,0.0,0.0,0.0,0.0
BIME11,Híbrido,7.73,0.138,0.1437,0.87,45186500.0,73320.0,2.0,1271.86,0.0,0.0,0.0
BLCA11,Lajes Corporativas,132.0,0.051,0.0528,0.97,211200000.0,50276.0,1.0,52076.2,3102.57,0.0596,0.0
BLCP11,Logística,91.0,0.0541,0.022000000000000002,0.81,208962000.0,0.0,2.0,3014.16,199.89,0.0663,0.0
BLMC11,Títulos e Val Mob,81.09,0.1231,0.1333,0.82,32395500.0,4889.0,0.0,0.0,0.0,0.0,0.0
BLMG11,Outros,67.73,0.115,0.1382,0.78,258091000.0,512010.0,1.0,329.2,41.41,0.1258,0.0
BLMO11,Lajes Corporativas,20999.0,0.021099999999999997,0.030600000000000002,0.63,79733200.0,0.0,1.0,12365.4,564.87,0.045700000000000005,0.0
BLMR11,Títulos e Val Mob,7.5,0.1155,0.111,0.93,191562000.0,488070.0,0.0,0.0,0.0,0.0,0.0
BLUR11,Títulos e Val Mob,100.39,0.0512,0.1242,1.05,9035100.0,3910.0,0.0,0.0,0.0,0.0,0.0
BMLC11,Híbrido,103.39,0.0745,0.1155,0.93,103225000.0,25783.0,2.0,12017.3,1282.66,0.1067,0.0
BNFS11,Outros,120.93,0.1406,0.1351,1.32,84651000.0,141341.0,18.0,7769.76,1312.01,0.1689,0.0
BPFF11,Outros,72.21,0.162,0.10039999999999999,0.93,324391000.0,356837.0,0.0,0.0,0.0,0.0,0.0
BPML11,Shoppings,64.04,0.0571,0.0268,0.48,275697000.0,68149.0,4.0,3473930.0,704763.4,0.2029,0.0833
BPRP11,Outros,109.15,0.09759999999999999,0.0989,1.0,147335000.0,793.0,1.0,6383.51,648.64,0.1016,0.0
BRCO11,Logística,121.47,0.0659,0.0696,1.01,1795180000.0,4141390.0,11.0,3327.85,308.67,0.0928,0.1206
BRCR11,Híbrido,67.6,0.08039999999999999,0.0849,0.67,1800740000.0,1762500.0,9.0,11988.0,1223.35,0.102,0.1198
BREV11,Híbrido,109.85,0.062400000000000004,0.0692,0.94,106247000.0,1762.0,13.0,19173.7,1425.56,0.07429999999999999,0.0
BRIM11,Residencial,1030.22,0.0708,0.17629999999999998,0.94,127888000.0,0.0,1.0,7164.34,0.0,0.0,0.0
BRIP11,Híbrido,950.01,0.1324,0.2134,1.0,204703000.0,108.0,7.0,7561.95,0.0,0.0,0.0
BRLA11,Outros,138.0,0.0579,0.0962,0.88,433309000.0,60276.0,7.0,3250.92,190.43,0.058600000000000006,0.0
