fundos,setor,preco,liquidez_diaria,p_sobre_vp,ultimo_dividendo,dividend_yield,dy_12m_acumulado,dy_12m_media,dy_year,variacao_preco,rent_periodo,rent_acumulada,patrimonio_liq,vpa,p_sobre_vpa,dy_patrimonial,variação_patrimonial,rentab_patr_periodo,rentab_patr_acumulada,vacancia_fisica,vacancia_financeira,quant_ativos
JSAF11,Fundo de Fundos,97.35,784964.24,0.99,0.93,0.0095,0.1287,0.0107,0.0759,0.0593,0.0693,0.2437,155330152.82,94.13,10.3,0.0099,-0.0406,-0.0312,0.0712,0.0,0.0,0
JSRE11,Misto,77.5,3200262.21,0.69,0.46,0.0057,0.0768,0.0064,0.0464,0.0045,0.0102,0.1486,2343584658.59,113.42,6.8,0.0043,0.0,0.0044,0.0434,0.0,0.0,6
JURO11,Fundo de Desenvolvimento,106.03,1603416.7,0.0,1.5,0.0141,0.1313,0.0109,0.053,0.0282,0.0427,0.0626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KCRE11,Indefinido,96.11,417894.48,0.92,0.9,0.0092,0.114,0.0095,0.083,-0.0063,0.0029,0.2081,376004610.83,98.96,9.7,0.0052,-0.0196,-0.0146,0.0156,0.0,0.0,0
KDIF11,Fundo de Desenvolvimento,133.26,2699356.55,0.0,1.0,0.0076,0.1108,0.0092,0.0624,0.0091,0.0168,0.1097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KEVE11,Fundo de Desenvolvimento,1035.37,88854.92,1.13,19.57,0.0,0.0466,0.0039,0.0338,0.0,0.0,0.0,135631456.47,967.75,10.7,0.0028,-0.0149,-0.0122,-0.0429,0.0,0.0,0
KFOF11,Fundo de Fundos,97.43,1368847.36,1.0,0.75,0.0077,0.1064,0.0089,0.0646,0.0482,0.0562,0.3257,442312455.66,92.06,10.6,0.0078,-0.0643,-0.057,0.0611,0.0,0.0,0
KINP11,Fundo de Desenvolvimento,9.82,38394.2,2.66,2.9,0.0,0.3163,0.0264,0.1253,0.0,0.0,0.0,26408606.84,4.8,20.5,0.0501,-0.0628,-0.0158,0.0104,0.0,0.0,0
KISU11,Fundo de Fundos,8.62,783064.94,0.94,0.07,0.0079,0.1091,0.0091,0.0626,0.0365,0.0447,0.1576,406617799.57,8.79,9.8,0.0085,-0.0526,-0.0446,0.0209,0.0,0.0,0
KIVO11,Papéis,91.0,229217.27,0.96,1.2,0.0127,0.1751,0.0146,0.1096,0.0102,0.023,0.0832,114694165.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KNCA11,Indefinido,107.9,2424938.12,1.05,1.11,0.0104,0.1473,0.0123,0.0813,-0.0046,0.0058,0.0833,1441823009.54,102.26,10.6,0.0111,0.0007,0.0118,0.1258,0.0,0.0,0
KNCR11,Papéis,99.05,11890315.18,0.98,1.15,0.0116,0.1397,0.0116,0.0814,0.013,0.0248,0.0868,5759279230.75,100.66,9.8,0.0109,-0.0002,0.0108,0.1176,0.0,0.0,0
KNHY11,Papéis,100.6,2865997.61,0.98,0.85,0.0086,0.1171,0.0098,0.0817,0.0,0.0086,0.1022,1894929728.94,97.68,10.3,0.0092,-0.0096,-0.0005,0.1179,0.0,0.0,0
KNIP11,Papéis,92.5,13152133.27,0.93,0.52,0.0056,0.0967,0.0081,0.068,-0.0157,-0.0102,0.0733,7948291981.88,94.8,9.8,0.0053,-0.019,-0.0138,0.0916,0.0,0.0,0
KNPR11,Indefinido,0.0,0.0,0.0,3.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58702425.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KNRE11,Fundo de Desenvolvimento,0.57,11916.39,0.76,0.07,0.1252,1.7841,0.1487,1.3846,-0.44,-0.3699,0.0659,13997388.53,0.83,6.9,0.3683,-0.2853,-0.0221,-0.0803,0.0,0.0,1
KNRI11,Misto,160.0,4314096.15,1.0,0.95,0.0059,0.0799,0.0067,0.0484,0.0093,0.0152,0.207,3869615565.11,160.12,10.0,0.0057,-0.0009,0.0047,0.0786,0.0,0.0,19
KNSC11,Papéis,90.78,3380846.09,0.99,0.7,0.0079,0.1131,0.0094,0.0735,-0.001,0.0069,0.1072,1214035236.8,88.6,10.2,0.0085,-0.0115,-0.0031,0.0995,0.0,0.0,0
LASC11,Shoppings,101.18,901903.84,0.99,0.63,0.0062,0.1029,0.0086,0.069,0.0,0.0,0.0,300034047.66,109.68,9.2,0.0074,-0.0024,0.005,0.023,0.0,0.0,2
LAVF11,Indefinido,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116243.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LFTT11,Papéis,50.4,17657.69,1.72,4.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217095150.35,53.02,9.5,0.0692,-0.1209,-0.06,-0.6933,0.0,0.0,284
